Contest, Problema, CÃ³digo, En contest, En upsolving
Educational Codeforces Round 159 (Div. 2), E, Trie, , Creado
Educational Codeforces Round 159 (Div. 2), F, LCA_PathQueries, , Creado (Usando el de Pietro)
Educational Codeforces Round 160 (Div. 2), E, Min-cost max-flow, , Usado
Educational Codeforces Round 160 (Div. 2), D, Sparse table (RMQ), , Usado
Educational Codeforces Round 160 (Div. 2), D, Modular arithmetic, , Usado
Good Bye 2023, A, Factorizacion, Usado (Inesesrio),
Good Bye 2023, B, Pollard-rho, Usado (Inesesrio),
Good Bye 2023, E, DFS recursivo inline, , Creado
Good Bye 2023, F, Biconnected components, , Usado
Good Bye 2023, H1, Modular arithmetic, , Usado
Good Bye 2023, H2, Modular arithmetic, , Usado
AtCoder Regular Contest 170, B, Segment tree, Usado,
AtCoder Regular Contest 170, B, Binary search inline, Usado,
AtCoder Regular Contest 170, C, Modular arithmetic, , Usado
Hello 2024, F1, Lazy segment tree, , Usado
Hello 2024, F2, Segment tree, , Usado
Educational Codeforces Round 161 (Rated for Div. 2), D, Linked List, , Codeado (inline)
Educational Codeforces Round 162 (Rated for Div. 2), C, Segment tree (solo suma), Usado,
Educational Codeforces Round 162 (Rated for Div. 2), D, Segment tree (solo suma), Usado,
AtCoder Beginner Contest 343, F, Segment tree, Usado,
AtCoder Beginner Contest 343, F, Traveling salesman problem, , Codeado
Educational Codeforces Round 163 (Rated for Div. 2), G, Union find, , Usado
